elementCount,run,className,dataType,archetype,supportsStagedMutability,footprintInBytes,footprintInObjects,footprintInReferences
128,3,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,3784,77,242
128,3,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,4808,77,370
128,3,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,5592,91,434
128,3,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,5552,90,432
128,3,scala.collection.immutable.HashSet,SET,PERSISTENT,false,7416,200,327
128,3,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,13560,328,839
256,0,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,6464,123,439
256,0,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,8512,123,695
256,0,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,10304,150,863
256,0,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,10264,149,861
256,0,scala.collection.immutable.HashSet,SET,PERSISTENT,false,14520,390,645
256,0,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,26808,646,1669
256,1,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,6032,111,421
256,1,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,8080,111,677
256,1,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,9552,134,813
256,1,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,9512,133,811
256,1,scala.collection.immutable.HashSet,SET,PERSISTENT,false,14136,378,633
256,1,scala.collection.immutable.HashMap,MAP,PERSISTENT,false,26424,634,1657
256,2,org.eclipse.imp.pdb.facts.util.TrieSet_5Bits,SET,PERSISTENT,false,6104,113,424
256,2,org.eclipse.imp.pdb.facts.util.TrieMap_5Bits,MAP,PERSISTENT,false,8152,113,680
256,2,clojure.lang.PersistentHashSet,SET,PERSISTENT,true,9608,135,816
256,2,clojure.lang.PersistentHashMap,MAP,PERSISTENT,true,9568,134,814
256,2,scala.collection.immutable.HashSet,SET,PERSISTENT,false,13880,370,625
